BybitLinearInverseSymbol;BybitLinearInverseSymbol.Name;BybitLinearInverseSymbol.ContractType;BybitLinearInverseSymbol.BaseAsset;BybitLinearInverseSymbol.QuoteAsset;BybitLinearInverseSymbol.SettleAsset;BybitLinearInverseSymbol.LaunchTime;BybitLinearInverseSymbol.DeliveryTime;BybitLinearInverseSymbol.Status;BybitLinearInverseSymbol.DeliveryFeeRate;BybitLinearInverseSymbol.PriceScale;BybitLinearInverseSymbol.UnifiedMarginTrade;BybitLinearInverseSymbol.FundingInterval;BybitLinearInverseSymbol.LotSizeFilter;BybitLinearInverseSymbol.PriceFilter;BybitLinearInverseSymbol.LeverageFilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;10000000AIDOGEUSDT;LinearPerpetual;10000000AIDOGE;USDT;USDT;"04.03.2024 09:01:39";"";Trading;"";7;True;480;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MTLUSDT;LinearPerpetual;MTL;USDT;USDT;"13.04.2022 06:34:50";"";Trading;"";4;True;480;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MOVRUSDT;LinearPerpetual;MOVR;USDT;USDT;"23.11.2023 06:09:22";"";Trading;"";3;True;240;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MOVEUSDT;LinearPerpetual;MOVE;USDT;USDT;"09.12.2024 12:06:17";"";Trading;"";4;True;240;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MOTHERUSDT;LinearPerpetual;MOTHER;USDT;USDT;"09.08.2024 08:02:04";"";Trading;"";6;True;480;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MORPHOUSDT;LinearPerpetual;MORPHO;USDT;USDT;"22.11.2024 08:35:59";"";Trading;"";4;True;240;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MOODENGUSDT;LinearPerpetual;MOODENG;USDT;USDT;"01.10.2024 06:59:06";"";Trading;"";5;True;240;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MONUSDT;LinearPerpetual;MON;USDT;USDT;"30.05.2024 09:31:21";"06.03.2025 09:00:00";Trading;"";5;True;480;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MOCAUSDT;LinearPerpetual;MOCA;USDT;USDT;"12.07.2024 09:57:42";"";Trading;"";5;True;240;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
Bybit.Net.Objects.Models.V5.BybitLinearInverseSymbol;MOBILEUSDT;LinearPerpetual;MOBILE;USDT;USDT;"22.02.2024 10:39:21";"";Trading;"";7;True;480;Bybit.Net.Objects.Models.V5.BybitLinearInverseLotSizeFilter;Bybit.Net.Objects.Models.V5.BybitLinearInversePriceFilter;Bybit.Net.Objects.Models.V5.BybitLinearInverseLeveragefilter
